target_hex,source,rank,d_ag_bottom_nm,d_sio2_nm,d_ag_top_nm,delta_e,simulated_hex,retrieval_metric
#d15f3f,cgan,3,18.4449934950128,533.2082062334205,0.020775337826079248,21.360798000067152,#97856d,delta_e_2000
#d15f3f,cgan,4,19.984730064703054,769.8055064183528,21.777480699951994,21.683606868062256,#9a3849,delta_e_2000
#d15f3f,cgan,5,22.289803556281026,276.23441635130723,0.0025103665837760483,21.708166931362655,#837058,delta_e_2000
#d15f3f,cgan,6,16.433726961594957,699.7140486334223,0.14450026335851116,22.55815989279749,#a3927b,delta_e_2000
#d15f3f,cgan,7,20.486510340630065,765.6061807040402,23.727957540739908,22.632508268441924,#923746,delta_e_2000
#d15f3f,cgan,8,15.616743528656952,332.1865349517845,1.563557099457527,23.64272115413205,#b59a71,delta_e_2000
#d15f3f,cgan,9,14.615202048426509,0.9904460563637495,0.030942682393460843,24.21956414462711,#ae9e88,delta_e_2000
#d15f3f,cgan,10,3.5037144715745514,0.17285092355509268,10.809394216927998,24.573589681900064,#b0a08a,delta_e_2000
#d15f3f,cgan,11,0.0007277982971140311,7.9119569216696295,27.463848190931166,24.89182627910784,#6d5a44,delta_e_2000
#d15f3f,cgan,12,13.890021555456691,0.8642539261490653,0.015017444086273072,25.03688796373375,#b3a38d,delta_e_2000
#d15f3f,cgan,13,13.440549390433011,0.41835679131209813,0.09279799388399806,25.472053876273332,#b5a690,delta_e_2000
#d15f3f,cgan,14,35.58280936206618,239.2136245648646,0.0008287488189269828,31.509785713593168,#4e3c27,delta_e_2000
#d15f3f,cgan,15,43.72767276726329,0.25596934476550365,0.044947084706518675,36.42676307519386,#382816,delta_e_2000
#d15f3f,cgan,16,44.009460661426544,0.09248440946036549,0.00037353943220468826,36.54962754258087,#372715,delta_e_2000
#66aa55,retrieval,1,26.4523646234,132.562712661,25.3324172736,13.500221118084808,#008e29,delta_e_2000
#66aa55,cgan,1,17.06068073764512,476.9120296145504,9.083444284117638,6.278206624105144,#2aa341,delta_e_2000
#66aa55,cgan,2,8.810799531451273,471.613118910663,16.628798851612565,6.414080935444572,#18b04a,delta_e_2000
#66aa55,cgan,3,9.453096761750858,484.7576848899232,16.349287191331968,7.1217140034681,#4ab931,delta_e_2000
#66aa55,cgan,4,15.557908824608779,488.7828805911158,12.643416806300175,7.519749110701989,#22ae20,delta_e_2000
#66aa55,cgan,5,11.311830256978771,479.19276622829005,14.305227050135047,7.753110333961681,#06b83c,delta_e_2000
#66aa55,cgan,6,11.986360363902255,478.075628170475,13.477520344813868,7.789695004253191,#00b83f,delta_e_2000
#66aa55,cgan,7,14.660129744753034,493.972956311619,13.830620172819952,7.869250097552756,#40b110,delta_e_2000
#66aa55,cgan,8,17.734818205917083,487.96959836314346,11.611374268746882,8.032549032169069,#15a320,delta_e_2000
#66aa55,cgan,9,17.591239117089565,493.8765187414571,12.636051433257874,8.080955421674874,#2ea40c,delta_e_2000
#66aa55,cgan,10,8.979806256972898,473.0887687018056,12.344644613560588,8.846911169932946,#51c959,delta_e_2000
#66aa55,cgan,11,0.4521388857944575,439.1060583902042,20.35427695338796,11.056952565937904,#8c9960,delta_e_2000
#66aa55,cgan,12,20.411850883340286,490.8033311301354,12.208654913374652,11.519050729710985,#00940f,delta_e_2000
#66aa55,cgan,13,21.667627007998522,491.86205829873,10.514319611322636,11.683260831525294,#2a8e14,delta_e_2000
#66aa55,cgan,14,0.4715563385758562,444.0714607975273,19.641822020007478,11.724544699969583,#949d62,delta_e_2000
#66aa55,cgan,15,18.027337726525353,462.52182162119016,7.832771011180031,12.187116901514482,#338f59,delta_e_2000
#66aa55,cgan,16,20.115692563540303,494.7289005034383,14.383069342893057,12.327344669406463,#009400,delta_e_2000
