epoch,discriminator_loss,generator_loss,evaluator_loss,real_score,fake_score,lab_mse,lab_delta_e76,color_loss,mode_seeking_loss,alpha
1.0,0.999491277066144,0.4273704249750484,0.999491277066144,0.08180213042280891,0.08148285170847719,2.0825495557351545,48.658201391046696,2.0825495557351545,5.078119971535423,0.0005
2.0,0.9979778636585582,0.3053451112725518,0.9979778636585582,0.08813572133129294,0.08471433615142648,1.966696018522436,46.52645267139781,1.966696018522436,3.8809274543415415,0.001
3.0,0.9904743297533556,0.2701632339846004,0.9904743297533556,0.125047449699857,0.1089911779219454,1.883976242759011,45.33286094665527,1.883976242759011,3.7632844014601274,0.0015
4.0,0.9782440337267789,0.23287124254486777,0.9782440337267789,0.18398048999634656,0.14366028186949817,1.6332474838603626,41.87751596624201,1.6332474838603626,3.7326502366499468,0.002
5.0,0.9718069488351996,0.22896413640542465,0.9718069488351996,0.20638744329864328,0.15000549229708585,1.4041002013466575,38.777155269276015,1.4041002013466575,3.7545937191356313,0.0025
6.0,0.9644123234532096,0.237272134558721,0.9644123234532096,0.2151508073915135,0.14443802969022232,1.294976375319741,37.2498234835538,1.294976375319741,3.778252265670083,0.003
7.0,0.9550251147963784,0.24375752359628677,0.9550251147963784,0.22553707659244537,0.13647113943641836,1.3038299896500327,37.41449720209295,1.3038299896500327,3.7566525394266304,0.0035
8.0,0.9518691599369049,0.23465111377564343,0.9518691599369049,0.24324006587266922,0.14567800814455206,1.331380551511591,37.7771202434193,1.331380551511591,3.7500359361821953,0.004
9.0,0.9460853961381045,0.26180368729613046,0.9460853961381045,0.227639570154927,0.11951748586513779,1.3561108220707287,38.11077239296653,1.3561108220707287,3.75218665599823,0.0045
10.0,0.9427827325734225,0.26725096865133807,0.9427827325734225,0.23025990954854272,0.11516975950111043,1.3151750456203113,37.457039226185195,1.3151750456203113,3.758448459885337,0.005
11.0,0.939675509929657,0.2768717232075604,0.939675509929657,0.23001798784190958,0.10818710313601927,1.3548797206445173,38.10209898515181,1.3548797206445173,3.7760698145086113,0.0055
12.0,0.9365847137841311,0.2693373980847272,0.9365847137841311,0.2406303103674542,0.11226030879399994,1.3844274932687932,38.65173703973944,1.3844274932687932,3.732911370017312,0.006
13.0,0.9347458590160717,0.27231295813213696,0.9347458590160717,0.24867625060406598,0.11601899124004623,1.314965302293951,37.61988847905939,1.314965302293951,3.797846696593545,0.0065
14.0,0.9352241619066759,0.2445077191699635,0.9352241619066759,0.27457967129620636,0.14430911669676955,1.3384203260595149,38.00631679188121,1.3384203260595149,3.7944788824428213,0.007
15.0,0.9334080192175779,0.30461677502502094,0.9334080192175779,0.22604468600316482,0.09010869400067763,1.2676562070846558,36.898850354281336,1.2676562070846558,3.8521804592826148,0.0075
16.0,0.9364121312444861,0.26351387798786163,0.9364121312444861,0.2651805803179741,0.13582554324106735,1.2200491536747327,36.2549487027255,1.2200491536747327,3.8957901867953213,0.008
17.0,0.9356430958617817,0.2798476598479531,0.9356430958617817,0.25082324783910404,0.12354247136549516,1.204688223925504,35.86310005187988,1.204688223925504,3.9315026998519897,0.0085
18.0,0.9338804185390472,0.2731689783659848,0.9338804185390472,0.2644321166656234,0.1281849051063711,1.215094262903387,35.92304853959517,1.215094262903387,3.904180320826444,0.009
19.0,0.9334422539580952,0.29768800193613226,0.9334422539580952,0.2424978478388353,0.10766946693713014,1.2221832167018543,35.909751718694515,1.2221832167018543,3.93746723911979,0.0095
20.0,0.9331933585080233,0.28055457228964026,0.9331933585080233,0.2613842338323593,0.12611730295148763,1.2445749640464783,36.25544114546342,1.2445749640464783,3.9422612298618662,0.01
21.0,0.9352934983643618,0.2875026532194831,0.9352934983643618,0.25523811172355304,0.12219402735883539,1.2213320840488782,35.86361416903409,1.2213320840488782,3.968726938421076,0.0105
22.0,0.9363629519939423,0.2724304659800096,0.9363629519939423,0.2668863575566899,0.13840530677275223,1.228637857870622,36.01428482749245,1.228637857870622,3.973207473754883,0.011
23.0,0.9353768879717047,0.2943066724322059,0.9353768879717047,0.2511203309351748,0.12080457569523291,1.2045367576859214,35.636938788674094,1.2045367576859214,4.012590722604231,0.0115
24.0,0.93656294725158,0.25460622120987286,0.93656294725158,0.28805122727697546,0.1606532782316208,1.2263675711371682,36.10991998152299,1.2263675711371682,4.0054308067668565,0.012
25.0,0.9362916187806563,0.2875625477595763,0.9362916187806563,0.2608575163917108,0.13015338202769106,1.2384438623081555,36.04666432467374,1.2384438623081555,4.022353735837069,0.0125
26.0,0.9385982508009131,0.2633139721371911,0.9385982508009131,0.28189716555855493,0.1583779819987037,1.1400284008546309,34.63382564891469,1.1400284008546309,4.068715767426924,0.013
27.0,0.936958987604488,0.2853480645201423,0.936958987604488,0.2652233906767585,0.13743567703799767,1.1531557549129834,34.82238284024325,1.1531557549129834,4.072161338546059,0.0135
