target_hex,source,rank,d_ag_bottom_nm,d_sio2_nm,d_ag_top_nm,delta_e,simulated_hex
#4f86c6,retrieval,1,19.6896656562,103.404519147,24.6576432539,13.26853621508243,#611e52
#4f86c6,cgan,1,29.54238780292322,151.2227011056001,0.47767291944601625,44.34369843169301,#913133
#4f86c6,cgan,2,32.78819668193218,246.72371524196078,0.5818176812727874,44.39432565288526,#7a282d
#4f86c6,cgan,3,26.480560306469933,154.75353505381656,1.433231774202704,44.44074793663619,#a83939
#4f86c6,cgan,4,30.782431559904918,162.0885271698848,0.2534455137912433,44.7667828790609,#892d2f
#4f86c6,cgan,5,32.549961131247805,226.0066393981186,0.6249025245887269,44.87861006412223,#7b262d
#4f86c6,cgan,6,32.22869181882752,218.06442734668752,0.17324276602360017,45.04583924833052,#7f292c
#4f86c6,cgan,7,32.76389629814083,353.57517211355423,0.06026976346602312,45.44905638889242,#7e282b
#4f86c6,cgan,8,32.20416494139279,201.3144790317696,0.4840199287135656,45.52506627235388,#7f272b
#4f86c6,cgan,9,33.32377368368526,575.0445288139773,0.04747389691234532,45.658436398650444,#7b2729
#4f86c6,cgan,10,31.318711884024292,172.15001144842475,0.6814490008351368,45.8305027903213,#86292c
#4f86c6,cgan,11,30.656748449084148,166.4406003396562,0.8950200467926316,45.841937097386804,#8b2b2d
#4f86c6,cgan,12,30.92137050922261,168.89500504366737,0.828095060718351,45.877821420166455,#892a2c
#4f86c6,cgan,13,33.35927954246502,316.17292145873324,0.26389398665393626,45.88590487316183,#7b2828
#4f86c6,cgan,14,31.600413352981516,182.5232340467047,0.7243130356910913,45.97423241257909,#83272b
#4f86c6,cgan,15,33.56856562930966,371.1927903466626,0.20403680372243446,45.97716713762936,#7a2529
#4f86c6,cgan,16,30.983399965714284,172.5071076117329,0.9234975397259851,46.08404845486305,#88292b
#d15f3f,retrieval,1,33.3435952882,141.704790115,21.5044467339,3.464558216601685,#9e6e00
#d15f3f,cgan,1,0.08868529527271904,975.8329313032326,23.133695760320858,13.630354757632537,#cb5059
#d15f3f,cgan,2,0.09199410943075066,976.3188145368296,23.22150358310252,13.636669696542048,#ca5059
#d15f3f,cgan,3,0.14589488181870353,979.0698482132161,23.909317372643123,13.92122147864835,#c54d56
#d15f3f,cgan,4,0.32428497030386305,968.6843921098214,21.219504892489876,14.12633121567644,#da5662
#d15f3f,cgan,5,0.686777685757509,975.2933458133217,19.5565607120001,14.337916637911789,#e75e6c
#d15f3f,cgan,6,0.23111680544186125,966.9105487689136,23.839195087518565,15.249858644238412,#c74a55
#d15f3f,cgan,7,0.1485788827146239,937.1023395437061,20.607152277738116,15.985227974151433,#e35363
#d15f3f,cgan,8,0.1960215595213468,939.29644327226,20.144680459710194,16.025660847629037,#e65666
#d15f3f,cgan,9,0.09949232258780881,934.8441030429059,20.043359270932047,16.132297303545773,#e85666
#d15f3f,cgan,10,0.09579478708453597,906.5579743054765,18.737101496015182,16.181000644928453,#f35d6d
#d15f3f,cgan,11,0.09755344224005734,907.0667450711761,18.675927029041347,16.251266686493842,#f45d6d
#d15f3f,cgan,12,0.09651175308518634,910.7763729632079,18.862907372195938,16.316036135591514,#f25b6c
#d15f3f,cgan,13,0.2480767975360272,933.7223159551324,19.32331545531316,16.429187009895873,#ee596a
#d15f3f,cgan,14,23.128163816903033,973.4043495765222,2.7020574396307793,17.859992498821953,#b83f4a
#d15f3f,cgan,15,0.7725927931593758,947.2388341325357,16.424943564152073,18.401269158940018,#ff687c
#d15f3f,cgan,16,23.983664580023927,981.3483497163988,2.285688490968033,18.48493356834707,#b23d47
#66aa55,retrieval,1,19.991172584700003,299.90521295099995,24.6554804922,7.330665422828072,#586625
#66aa55,cgan,1,0.1281013591242166,622.1592884857201,15.02207915443356,23.581175180423894,#ff917f
#66aa55,cgan,2,0.1744800070710083,613.7984253262438,14.216404495603069,23.590107886989415,#ff9582
#66aa55,cgan,3,0.12279303077069713,622.997007922448,15.15617573172849,23.59487604847136,#ff907f
#66aa55,cgan,4,0.13800166682089607,601.381045116304,14.572652823151614,23.998795533041175,#ff907f
#66aa55,cgan,5,0.2696606545659326,620.0464831784893,13.364527505815136,24.122135300604302,#ff9a8a
#66aa55,cgan,6,0.305779522302989,598.0032864397615,12.762799028184885,25.11582820117802,#ff988c
#66aa55,cgan,7,0.30518371922587517,835.5444589121375,16.02391591419462,28.006595170946657,#fe8084
#66aa55,cgan,8,1.0552897817715934,812.9247824585728,11.108690911247779,28.248087043375598,#ff9ca4
#66aa55,cgan,9,0.2284610929687112,650.5248083501309,14.104268441856073,28.556684333113044,#ff8d90
#66aa55,cgan,10,1.2724290141691186,823.9033474993478,10.211319369623403,28.64730991177315,#ffa2ad
#66aa55,cgan,11,0.6694396066696247,792.1617378409436,12.831814197758069,29.43615871798548,#ff8e94
#66aa55,cgan,12,1.075368741275421,848.6601472630025,11.885793644509562,29.469173163590707,#ff95a2
#66aa55,cgan,13,0.7964385598782849,848.6150874341753,13.094477734836302,29.479323762988013,#ff8e99
#66aa55,cgan,14,1.2733491445953606,847.473929388242,10.70272296302576,29.706282190714155,#ff9cab
#66aa55,cgan,15,0.8222962737291094,850.3079303685008,13.012890918012884,29.717522835727006,#ff8e99
#66aa55,cgan,16,1.0342051979415954,851.8851435833492,12.137985030719639,29.87701629212151,#ff93a0
