target_hex,source,rank,d_ag_bottom_nm,d_sio2_nm,d_ag_top_nm,delta_e,simulated_hex
#4f86c6,retrieval,1,19.6896656562,103.404519147,24.6576432539,13.26853621508243,#611e52
#4f86c6,cgan,1,32.41247948971451,949.1700292566495,44.70789558327741,49.5215877445127,#33110a
#4f86c6,cgan,2,45.489480393931245,999.5594941075246,49.5189042083259,54.5157822376566,#1f0001
#4f86c6,cgan,3,29.90582963570545,224.04381000925602,4.124987387429584,55.50380685745397,#751a32
#4f86c6,cgan,4,38.44035747326539,989.583212243414,48.21373864834733,57.793359619143935,#2e0001
#d15f3f,retrieval,1,33.3435952882,141.704790115,21.5044467339,3.464558216601685,#9e6e00
#d15f3f,cgan,1,27.031771329975456,661.2147759157983,30.251672433698904,30.499554841384402,#472a07
#d15f3f,cgan,2,5.858882173196274,177.62947438309888,0.011220177816652037,30.856576699258436,#ffaac7
#d15f3f,cgan,3,34.51873626509524,833.0590755758077,26.31035895155181,40.31170518406874,#61000d
#d15f3f,cgan,4,30.48298312191685,854.2266454027625,41.117458757665815,40.51218122756419,#440003
#66aa55,retrieval,1,19.991172584700003,299.90521295099995,24.6554804922,7.330665422828072,#586625
#66aa55,cgan,1,44.1592206425748,954.6017651305652,32.48983988128354,55.51683504599103,#370f01
#66aa55,cgan,2,43.12051185348321,978.0755518316084,36.32732291141088,61.647277637650305,#3a0403
#66aa55,cgan,3,48.78319267851564,999.3930230732464,41.62029782657154,62.845262876300445,#250001
#66aa55,cgan,4,36.2322381619528,983.047212548491,19.567593125919824,64.729224207128,#650018
