d1,d2,d3,L,a,b
0.0234760884006,0.855340100744,0.0240743999614,43.9947864669,-15.7841553547,-24.6510659162
0.0300836483323,0.313867647163,0.00245740051058,48.1035535112,-3.63911230584,-10.6106543492
0.0124277529412,0.466653492033,0.0353728651763,42.1503430097,-53.4949326453,4.99091993343
0.000472569121394,0.247593841193,0.0290048099199,57.629202129,-15.7143799979,-5.97628960461
0.0143025681334,0.51146902467,0.04710242267,29.0577229543,1.59287493485,-12.4712350556
0.00848460948012,0.671021140681,0.0230693103118,61.6229942763,-15.005583828,-17.5395766807
0.0064168080547,0.494577995523,0.0492666488667,27.4622821872,-0.614641929435,-12.054082608
0.043165027163,0.939007986605,0.0456390810565,11.8220850402,7.26896245055,-12.6525465053
0.0324141400204,0.340291815993,0.0450917851241,25.3103915517,3.89498970193,19.9836684301
0.00532598276599,0.656647292343,0.0495364479966,25.7893726877,-4.61957193208,-17.8087251014
0.0229009344404,0.760319172933,0.0153051193647,48.5970155944,23.7092111753,-16.3244331802
0.0150910647457,0.824356131353,0.0212069177523,54.5027947928,-15.082777687,-22.6378933238
0.0487855207762,0.223762338656,0.0396810301644,1.3797147406,32.0018569719,-38.1631695806
0.0124786454449,0.749521528936,0.00183085414855,78.3726608236,3.07150391148,-11.7376155217
0.0447802942942,0.253382591005,0.00185149974991,25.7289071322,2.28477787205,-22.8577530144
0.0261666995185,0.965674820848,0.0254654878858,37.4974439047,18.0288921964,-21.9841621839
0.021616597919,0.0902843205817,0.0246967293545,39.7440369167,29.4797171026,-71.4656478791
0.00372733694646,0.154431490277,0.0202156606248,61.7100304286,9.04657043012,-11.0457194923
0.027025584037,0.143926184148,0.00741397793976,56.210283435,4.9276895946,4.96650541562
0.00380474845113,0.280143891623,0.0426347773614,37.4178971997,-17.4714980743,-1.03623313411
0.0458340826291,0.87085591222,0.0169364704418,23.4857452784,-5.1603985072,-20.3386216755
0.0485973072286,0.934882711771,0.00582656950007,21.5201044509,6.74422226078,-17.3116271216
0.0179143449879,0.708911188248,0.0405072060925,32.2392138852,8.11277499024,-23.9000953987
0.0131428472743,0.133133741057,0.0447465538403,41.6843453444,-6.08393001363,21.6095015826
0.0309373782003,0.47144568757,0.0172699894907,42.4692996131,-61.4214500695,7.15705060931
0.0207189799473,0.525285905157,0.0345137116507,39.6015623332,16.8776269495,-20.2406898272
0.0228808074448,0.722138904793,0.00854860283327,56.0980698374,13.5290771058,-21.3240109982
0.0453868987775,0.548736614076,0.0109217654889,24.06442999,29.4391385096,-28.1250064899
0.0408586061418,0.703577844174,0.0172580760961,29.7887306733,4.62681676572,-23.6468897807
0.0233042277557,0.84192531861,0.0229528193316,44.5784320426,-15.8157409079,-25.1263832048
0.00777221720455,0.535239257309,0.022569948338,60.0749542082,35.8269564472,-27.6344267758
0.0217566461532,0.0863443631993,0.0345403016757,24.9454433728,52.0560510445,-75.0505975808
0.0156759187098,0.183283025703,0.0422258210612,16.690378456,16.7313690679,-16.1726012964
0.0438598682801,0.437758480703,0.0212964319447,17.0117033683,-15.7815080204,-25.8112948546
0.0129332062481,0.725633438224,0.0282190069598,48.3568548497,18.3215828401,-21.3409667338
0.0446858725835,0.459126961959,0.0370111217589,14.9405228086,-49.6184415067,0.447192418149
0.0479811168151,0.312320956861,0.00996866926259,28.3767080133,-19.7278806852,6.5117388283
0.0442111412607,0.638284771365,0.00626625548612,26.0736375962,-11.6098906553,-15.2862782175
0.0406710552538,0.173395441273,0.047712835511,5.5658601968,21.4157236766,2.56656890924
0.021209978212,0.0451085181856,0.034182776899,13.3998639375,13.1379259871,-29.0475022753
0.0255372220674,0.00761236845179,0.0450269180286,5.22686966596,3.36968610808,-13.3893876178
0.0116410582544,0.0377351595718,0.0059163459547,69.888417049,-1.15984208389,-22.4188384723
0.0172818600977,0.604554214831,0.00861537472642,60.6084008595,-9.13782498566,-17.958320941
0.0258281399599,0.189299828642,0.0195845442047,26.9955358229,20.4571546514,-22.3021618152
0.0331501131986,0.946801653545,0.0368375956572,23.073485344,13.3468781646,-16.7893684139
0.0427120417134,0.158590844733,0.00351493187555,28.8729367345,4.13085292451,-11.7118099056
0.0090588837228,0.235009121284,0.0471503726108,19.1546091174,24.7887288709,-47.7073740746
0.0476390322157,0.44883966069,0.0175717647822,18.205161468,-31.4448794458,-12.3448725597
0.0474261190719,0.96258181259,0.0242188418821,17.9875011894,14.41198071,-19.0853788605
0.0453803597743,0.0263445408459,0.00429569889241,20.0001534875,4.57396328621,-20.1846343828
0.0229394552641,0.118570449313,0.0143700887787,71.5129303947,-38.3047981613,10.3534718551
0.000837287901137,0.521859394202,0.000898351437867,97.582116655,1.19551164769,-1.19626749753
0.0305617106125,0.991174742628,0.00736881494069,43.0718017618,5.11710653024,-22.6409640166
0.00596735478262,0.285582084366,0.0244203162218,66.6194960966,-31.9564054972,9.19514203001
0.0361408649953,0.445207493717,0.0358489094738,17.0892394975,-36.8724953264,-16.7810312839
0.0122277559048,0.452639990127,0.0237681778391,54.8362285077,-58.878621491,-2.054286987
0.0305200376826,0.105078838636,0.0310894689282,33.421458653,0.100028156099,-53.5425531058
0.0119693323664,0.819760504766,0.00555372597624,77.3431014707,-10.8040196718,-13.7207636734
0.0434600638532,0.713503754458,0.0373139150288,18.676767448,9.70749961985,-23.3082743594
0.0256049551278,0.673663069415,0.047136588285,23.0010838633,-13.1661281565,-17.979052059
0.0261158016122,0.00985878187892,0.00722473873548,39.216759571,2.49226405778,-21.7410739683
0.0401209179321,0.852795885602,0.0334165264254,22.3140804997,-7.46858012761,-22.6926611035
0.0321682368624,0.319696052384,0.0320012440709,40.9368464766,-43.5446370442,36.6233896691
0.0183564942799,0.693457890059,0.0350543352582,39.0789184483,-2.99627172161,-23.6211164982
