epoch,discriminator_loss,generator_loss,evaluator_loss,real_score,fake_score,lab_mse,alpha
1.0,2.8319665590922036,-0.3154372572898865,2.8319665590922036,0.38605034351348877,0.31544989347457886,1.6839433908462524,7.5e-06
2.0,2.7797018686930337,-0.2867972453435262,2.7797018686930337,0.32035984595616657,0.2868221402168274,1.6599640448888142,1.5e-05
3.0,2.7115248839060464,-0.2696869770685832,2.7115248839060464,0.2972750961780548,0.2697351276874542,2.1399003664652505,2.2499999999999998e-05
4.0,2.654437859853109,-0.20742366214593252,2.654437859853109,0.24660753707091013,0.20748288929462433,1.974283774693807,3e-05
5.0,2.638025681177775,-0.19250410298506418,2.638025681177775,0.22149003048737845,0.19257605075836182,1.9184894164403279,3.75e-05
6.0,2.6173482735951743,-0.1616757015387217,2.6173482735951743,0.19868741929531097,0.1617638816436132,1.9596255620320637,4.4999999999999996e-05
7.0,2.567424694697062,-0.16587851444880167,2.567424694697062,0.20292151470979056,0.16599011917908987,2.125759760538737,5.2499999999999995e-05
8.0,2.559882720311483,-0.1442044973373413,2.559882720311483,0.16906459629535675,0.14431930581728616,1.9134101470311482,6e-05
9.0,2.515019496281942,-0.13138226916392645,2.515019496281942,0.1551931550105413,0.13151523967583975,1.9699109395345051,6.75e-05
10.0,2.4913365046183267,-0.10624381403128307,2.4913365046183267,0.15348402162392935,0.10638001064459483,1.8159680366516113,7.5e-05
11.0,2.4838267167409263,-0.09497409562269847,2.4838267167409263,0.12416349599758784,0.09512429932753245,1.8206733067830403,8.25e-05
12.0,2.4825778007507324,-0.09455579270919164,2.4825778007507324,0.14426901936531067,0.09474896887938182,2.146381656328837,8.999999999999999e-05
13.0,2.4626969496409097,-0.08538278564810753,2.4626969496409097,0.10983250538508098,0.08561322217186292,2.363457202911377,9.75e-05
14.0,2.464570999145508,-0.07321608811616898,2.464570999145508,0.10088663051525752,0.07344812899827957,2.2098981539408364,0.00010499999999999999
15.0,2.4254724184672036,-0.06229261805613836,2.4254724184672036,0.09938549250364304,0.06255526219805081,2.3346192836761475,0.0001125
16.0,2.428443988164266,-0.059412543972333275,2.428443988164266,0.08733083804448445,0.05970768257975578,2.4594972133636475,0.00012
17.0,2.409539779027303,-0.07727163285017014,2.409539779027303,0.08005414654811223,0.07753663261731465,2.078432480494181,0.00012749999999999998
18.0,2.404369354248047,-0.044095639139413834,2.404369354248047,0.06066095953186353,0.044372731198867164,2.0525423685709634,0.000135
19.0,2.3662897745768228,-0.04844497827192148,2.3662897745768228,0.05899027238289515,0.04873613206048807,2.043190280596415,0.0001425
20.0,2.364485263824463,-0.04242631793022156,2.364485263824463,0.06238467867175738,0.04271890719731649,1.950604796409607,0.00015
21.0,2.3626158237457275,-0.03951784471670786,2.3626158237457275,0.058336399495601654,0.039842004577318825,2.058159669240316,0.00015749999999999998
22.0,2.3397419452667236,-0.01712365976224343,2.3397419452667236,0.054234872261683144,0.017443884784976642,1.9407565593719482,0.000165
23.0,2.3309382597605386,-0.0336109052101771,2.3309382597605386,0.04974890872836113,0.03394139868517717,1.9159094095230103,0.0001725
24.0,2.330629825592041,-0.029430637136101723,2.330629825592041,0.04815526927510897,0.029789223646124203,1.992148995399475,0.00017999999999999998
25.0,2.3203773498535156,-0.014700224778304497,2.3203773498535156,0.04260570059219996,0.015090793992082277,2.083035469055176,0.0001875
26.0,2.316495974858602,-0.022394115726153057,2.316495974858602,0.030059335753321648,0.022834500918785732,2.2583858172098794,0.000195
27.0,2.3022402922312417,-0.011233337533970674,2.3022402922312417,0.03818712756037712,0.011715214078625044,2.379636287689209,0.00020250000000000002
28.0,2.302375157674154,-0.0010253753668318193,2.302375157674154,0.03781530571480592,0.0014755217513690393,2.14355460802714,0.00020999999999999998
29.0,2.279675006866455,-0.0019983024491618076,2.279675006866455,0.036472235495845474,0.002449335918451349,2.073716958363851,0.00021749999999999997
30.0,2.270344336827596,0.0014257438791294892,2.270344336827596,0.021898810130854447,-0.0009799328011771042,1.9813811779022217,0.000225
31.0,2.274834950764974,-0.009929915269215902,2.274834950764974,0.020248149521648884,0.010359606860826412,1.8481350739796956,0.00023249999999999999
32.0,2.2857535680135093,-0.003866231068968773,2.2857535680135093,0.013488758665819963,0.004368295582632224,2.091935078303019,0.00024
33.0,2.265630563100179,-0.01174716961880525,2.265630563100179,0.0258459635078907,0.012252647429704666,2.0423351923624673,0.0002475
34.0,2.2552412350972495,-0.00016762766366203627,2.2552412350972495,0.019753589605291683,0.0006792177252161006,2.0062359968821206,0.00025499999999999996
35.0,2.2431490421295166,0.0020545948452005782,2.2431490421295166,0.019099505928655464,-0.0015280483445773523,2.0058908065160117,0.0002625
36.0,2.2564313411712646,0.007301801660408576,2.2564313411712646,0.013027149873475233,-0.006748003729929526,2.051103711128235,0.00027
37.0,2.2362980047861734,-0.0016382213992377122,2.2362980047861734,0.007553710447003444,0.002259921903411547,2.2403632005055747,0.0002775
38.0,2.2279176712036133,0.003979454282671213,2.2279176712036133,0.006211555873354276,-0.0033861695167919,2.0817015171051025,0.000285
39.0,2.2245160738627114,0.0003339014947414398,2.2245160738627114,0.014620712026953697,0.0002675331197679043,2.0561866760253906,0.00029249999999999995
40.0,2.2168165842692056,0.009234663875152668,2.2168165842692056,0.01930042402818799,-0.008493421288828054,2.470808267593384,0.0003
41.0,2.2104403177897134,0.0009414326244344314,2.2104403177897134,0.017223725095391273,-0.00031554892969628173,2.035393714904785,0.0003075
42.0,2.2146679560343423,0.01035391779926916,2.2146679560343423,0.02103808770577113,-0.009695106574023763,2.0914637247721353,0.00031499999999999996
43.0,2.211237827936808,0.0013280840745816629,2.211237827936808,0.01646495300034682,-0.0006295250883946816,2.1660744349161782,0.0003225
44.0,2.197297732035319,0.014764821622520685,2.197297732035319,0.014178335045774778,-0.014042411465197802,2.1891215642293296,0.00033
45.0,2.21240504582723,0.0027079000137746334,2.21240504582723,0.00375843591367205,-0.0020345888721446195,1.9949966271718342,0.00033749999999999996
46.0,2.2088977495829263,0.01424872192243735,2.2088977495829263,0.003322136433174213,-0.01354308674732844,2.0453199545542398,0.000345
47.0,2.1966495513916016,0.007151468695762257,2.1966495513916016,0.009959869862844547,-0.00640802465689679,2.109060843785604,0.0003525
48.0,2.2066924571990967,0.0034328466281294823,2.2066924571990967,0.01001926464959979,-0.002668569407736262,2.122992515563965,0.00035999999999999997
